text,class
Konna Pota 😂,neutral
"අම්මට පිස්ටල් 
වෙඩි තියනවා😂",negative
Pori kaztol🙂💗,positive
ඔව් ඔව් කෝටා කරනවා අපි බලනවා 😂😂😂😂,positive
2:38 මොන ජිල්ද ❤😂❤,positive
"Ee kota video eke mul winadi 2 kanam patta athal aaa parana video wala vibe eka enawa 😂
Annehema mona hari kiyaanko❤😂",positive
17:51 back to the video 📹,neutral
Kotooooo ආදරෙයි ❤,positive
22:07 ballek wage kagahanne ai :face-green-smiling::face-green-smiling::face-green-smiling:,negative
21:59 Hyyoo Grandpaaaah...!! 🫡🤍,positive
සුපිරියක් suddah ❤❤,positive
Batapola inna set ekh koo   😂😂❤❤,neutral
YO YO BBY 😂,positive
"Lets,go ✊❤️",positive
6:30  mal kumario padinna 😅😅😂,neutral
Gammak kotoo❤️🔥,positive
1:21 පයින් පැගුවා නම් එකක් ඔය වගේ උන් සාපයක්‌ 😒😂,negative
Kota on fire 😼😼,positive
Notification eka dakapu gaman apuaya koo ❤❤,positive
"4:10 Ekasiya ekata❌
Seeyata eka✅",neutral
😂 the kota,positive
Cupirii ❤,positive
"හෙම්ම වීඩියෝ එකකටම නරක හැන්දක් 😂 ඔයාගේ ලයිව් reaction එකෙන් මට අඩන්නද හිනාන්නද අමාරු! The Kota, ඔයා නම් සරපන තලය! 🔥❤️”,positive
😂😂,positive
​@IsuruYasaranga-k5c ❤😂❤,positive
Found u agaaaaain 😂🎉,positive
❤,positive
ඒ වගේ උන් නැත්තන් මෙච්චර ආතල් එකක් නැනෙ😂😭,positive
😂,positive
බත් එක බෙදාගෙන එද්දිම වීඩියො එකක් දාල තිබ්බාම සතුට 🥹❤,positive
එයා හොඳයි අපන් දෙපුල සොමි කියන්න👍💯 6:20,positive
6:02 😂 aiyoo haminenewa😢😂😂😂,positive
26:21 සන්තෝ 😂,positive
7:37  කසුන් මෙන්න වැඩක් 😂,positive
සිරාම අදනම් පට්ටම පට්ට. 😂,positive
Oya man nemeee 🥲 4:06,neutral
7:09 බෑනෙ කරන්න පැයික් පැයික් ගානවනේ 😁,neutral
12:06 ඒක Ai genaration ලු😂කාවද බං රවට්ටන්නෙ😅😂,negative
Yoow Bozaa 👀♥️😍,positive
Adath supiriyak ❤️😍😍,positive
"22:50  ujith sir, oya 😢",negative
18.49 බාබුල්ස්කා😂😅,neutral
Htto adarei htto duka paya bageta nathi una❤,positive
28:54 blur කරල නෑනෙ  කසුන්,neutral
❤😊 සුපිරි,positive
The kota💙👌,positive
Adoo 😂😂😂,positive
Apith මහරගම ❤. හේ හේ පල්ලහ වෙල ලග නේ ඉන්නෙ ව්ලොග් එකෙන් දැක්කෙ ඩුක්කලහෙ,positive
Gammak thama bosa 😂❤❤❤,positive
Atta😂❤,positive
Ado sira ඈ bath eka bedan awith video ekak blnna awa vitharai thibba ❤,positive
Bozzzzz..🔥👊,positive
සුපිරියක් තමා❤️😌,positive
14:44 ඉගුරු නෙවෙයි යකෝව් ඉරිගු 🫢🥴,neutral
වීඩියෝ එක බැලුවෙ 150 viwer. වීඩියෝ එක බලල ඉවර වෙද්දි විව්ස් 4079💚💚💪,positive
අද ෆට්ට 😂❤️,positive
දන්නෙම නැතුව තව ටික කාලෙකින් 1M ගහන කපටි කොටා .❤❤❤,positive
❤❤☺️👍 0:26,positive
Batapola😂❤,positive
Ara cycle karaya bar ekak issaeaha ne nawattuwe😂,neutral
Real kota is 0:49 back,neutral
thawa video danno koto❤,positive
උබ නිසා තමයි මම රියැක්ෂන් විඩීයෝ බලන්න ගත්තේ ඒත් දැන්නම් වැහි වැහැලා ඔය වගේ විඩීයෝ කරන උන් හැමතැනම ඒත් උබෙ කොලිටිය එ එකෙක්ටවත් ගන්න බැ❤❤,positive
0:28 කසුන් වීඩියෝ එඩිට් කරනෝ 😂,neutral
"Advertisement Details...,positive
ane අයියා මරැ හරිද ❤❤ මම දන්නැ මෙි මැසේජ් එකට රිප්ලයි දේයිද කියලා ❤❤❤❤❤❤❤❤❤❤❤❤ අයියේ දිකටමකරගේනයන්න   ❤ පුලුවන් විදිහට උදවු කරනවා❤🎉❤🎉❤🎉❤🎉❤🎉❤,positive
"අවසානෙට ඇත්තටම ආදරේ කරපු දිව්‍ය හැමෝගෙම හිතේ අප්‍රසාදයක් දිනාගෙන ,අනාතයෙක් වගේම මැරිල ගියා... ගොඩක් කතාවල වැරදි කාරය වෙන්නෙ,ජීවිතෙන් වන්දිගෙවන්නෙ ඇත්තටම ආදරේ කරපු මිනිස්සු 💔💚💛",negative
"ඊයේ ෆිල්ම් එකට විව්ස් නැත්තේ ඔයාට කලින් අරය ෆිල්ම් එක දැම්ම හින්දා 🙂🙂
අපිට ඉතින් කවුද අදාළ නෑ ඔය දෙන්නගෙන් මුලින්ම දැම්ම එක්කෙනාගේ ෆිල්ම් එක අපි බලනවා.දෙන්නටම ආදරෙයි ❤",positive
අම්මෝ දැන් නම් හැමදාම ෆිල්ම් දානවා ශොක් 💚💚💚🥰💚,positive
"අදනම් අවසානය මුලින්ම පෙන්නුවෙ නැති නිසා කුතුහලයෙන් බැලුවා. දිගටම ඔහොමම යමු
ආදරෙයි ❤ Good Luck ❤",positive
"mama Ru cinema eke videos balanna kamathi wena mukuth nisa newei . anith kisima channel ekaka pennanne nathi film eka onema kotas ruu eke pennanawa . ethkota ithin complete film eka baluwa wage thamai hodama reviwe channel eka thamai ru cinema❤💫 , adarei ruu cinema  apita mechchra lassanata review genawata 💖",positive
Gammak bro Ada kathawa patta❤,positive
මිනිස්සු හරි ලස්සනට තමන් ආදරේ කරපු අනිත් කෙනව අමතක කරලා අලුතින් තමන්ගේ ජීවිතේ පටන් ගද්දී කවදාවත් ඒකෙන් මානසිකව වැටෙන අනිත් කෙනා ගැන හිතන්නේ නෑ.එහෙම එවුන් මකබෑවිලාම යන්න ඕනි,negative
නියමයි රූ සද්දෙ නැතුව ඉදලා එක දිගටම එනවා❤❤❤,positive
රූ සිනමා බ්‍රෝ ඔයා ෆට්ට මේ වැස්ස දවසෙත් අපි වෙනුවෙන් ෆිල්ම් එකක් දාලා. ඔයා ගැම්මක්,positive
මොලේට සමනළ ගැටෙි වැටුනා.....සුපිරියක් තමා.....,positive
අඩෝ මූ ඉන්න හැම එකේම පොලිස් කාරයා වෙලා අන්තිමට මිනීමරුවා වෙන්නෙ පව් යකෝ ඌ 😂😂 Anyway great work aiye❤,positive
මේ channel එක ගැන කියලා වැඩක් නෑ සුපිරි. ෴....ආදරෙයි ❤❤❤❤❤,positive
ඔයගෙ විඩියො beluvata comments danna beri una .hemadama vage supiri.good luck aiye ediriyatama yanna oni ..😊😊😊😊😊😊❤❤❤❤❤❤❤❤❤,positive
ආදරෙයි රූ ගොඩාරියක් ❤😘😘😘😘,positive
Review eka Supiri Ayye❤,positive
සුපිරි බ්‍රෝ👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,positive
එක පාර තුනක් ගෙනාපු එකට නම් ආදරෙයි ruu cinema☺️❤️‍🔥,positive
First ❤,positive
👎,negative
Adareyi❤,positive
​ @RuuCinema 😊❤,positive
​ @RuuCinema    ❤❤❤අදරෙයි 😊😊😊😊,positive
❤❤❤❤,positive
Awadana ponnayo,negative
ඇත්ත 😊,positive
aniwa,positive
මේ දෙන්නටම කලින් කථා   දැන් කථා ගේන්නේ sahe recap___🫣,neutral
Vena kavuru hari danna kalin danna epa bm kain vedio eketh reach naththe eekama thama inside cinemns eke ayyya dammne mekatha dam maar tjaragayak😂❤❤,neutral
අනිවාර්‍යෙන් ම,positive
සිරාවටම ඒ වගෙ ගැනුන්ව කුනු පනුවො ගහල මැරෙන්න ඔනා...,negative
මිනීමැරුම් සමබන්ධව මූවීස් නම් ඉතින් ඉන්දියන් ඒවා තමා සුපිරිම 🤩🤟 කරකෝලා අතඇරියා වගේ අවසානය .ඉශාන් අයියාගෙ එකස්ප්ලෙයින් එක නිසා තවත් නියමයි ❤❤❤❤,positive
Oya harima dakshai 🎉🎉🎉🎉🎉 thawa thawath issarahata yanan labeewa 🎉🎉,positive
සුපිරි ❤❤,positive
මිනිස්සු ධනය බලය ඉස්සරහ කොයිතරම් අත්මර්තකමි වෙනවද😢කතාව නියමයි රූ..❤,positive
Ft❤ආයෙ දිගටම කතා දාන්නකො 🥺,positive
මම හිතුවෙම පොඩ්උන් දෙන්නා හිරෙ යයි කියලා.,neutral
මටනම් මුල ඉදන්ම හිතුනා වික්‍රම් මොකක් හරි හංගනව කියල...ඒක හරියටම හරි 😢,neutral
හරිම ලස්සන කතාවක් .කරකවලා අතහැරියා වගේ තමයි අවසානය. ❤👍,positive
Ai ek parak dala ain kre 😢..... Supiri ❤,positive
"40වන කමන්ට් එක,,,❤",neutral
අද මං ඉස්සල්ලාම ආවො,neutral
ඇත්තටම අවංකවම ආදරේ කරන මිනිස්සුන්ට එහෙම කරන එක මහ සවුත්තු වැඩක්.....අවුරුදු ගානක් ආදරේ කරලා බැරි කාලේ ලගින් ඉදලා හරි ගියාම අත අරින උන් නම් මහ ශාපයක්...🥺🥺,negative
Niyamai❤,positive
අද ෆිල්ම් එකත් මරු නින්දක් නැතුවම  රැ බලන්න 😢 අවසානය දුකක්,positive
අදත් supiriyak thamai aiyage vidiyo eka ❤❤❤❤,positive
Adath maru❤️,positive
මේ Actor ඉන්න Films වල මුලදි නඩුව භාර පොලිස්කාරයා වෙලා අන්තිමට මිනීමරුවා වෙනවනේ බන් 😂❤,positive
Superb ❤,positive
ඔයාල දාන ෆිල්ම් මාර විදියට කොලිටි🖤  𝘪𝘯𝘴𝘪𝘥𝘦 𝘤𝘪𝘯𝘦𝘮𝘢𝘹 එකේ දාන ෆිල්ම් වලට වැඩිය හොද කොලිටි එකක් තියෙනවා නියමයි 𝘳𝘶𝘶 𝘣𝘳𝘰𝘵𝘩𝘦𝘳..🍷🫀.,positive
අපි හිතන්නැති දේවල් කොච්චර වෙනවද 😮 සුපිරි  හොඳේ ෆිල්ම් එක 👍❤️,positive
ඔව් ඔව්,positive
Naveen කියන්නෙම villain characters කරන්නම ආපු එක්කෙනෙක් 🤩🤩😇😇,positive
😢😢,negative
"ඊයේ දාපු video එක Inside cinamax එකෙන් දාලා  තිබ්බත් ඔයාගේ එක තමයි හැමදාම බලන්නද 🥺🤍 
ඒ තරම් මේ channel එකට ආදරෙයි දැන්",positive
Thank you ruu..oayava godak miss kara😢❤ den hemadama nethan week ekata 3 times vath film gennako pls❤,positive
ඊයේ විව්ස් නෑ. Inside  රොෂාන් අයියා මුලින්  දාලා තිබ්බා.අපි ඔය දෙන්නගෙම විඩියෝ බලනවා.මුලින් ඔයා දැම්මත් එයා දැම්මත් බලනවා.ආදරෙයි රූ ❤❤,positive
Movie එක සුපිරියක් Ruu 🔥❤️‍🩹🎉️,positive
Best❤❤,positive
පුළුවං නම් මේ වගේ දිගටම ඉක්මනටම film අරන් එන්න.නැති දවසට මහ අමුතුම අඩුවක් දැනෙන්නෙ.ඒ තරමටම addict වෙලා ඉන්නෙ.😊😊😊😊,positive
Patta film ekak ❤❤❤❤,positive
කොල්ලෙක් කොල්ලෙක්ගේ වොයිස් එකක් පට්ට ලස්සනයි කිව්වාම එක ටිකක් විතර අමුතුයි නෙද ...එත් මෙක කියන්නම ඔනේ....මෙවා බලන්නේ පට්ට අසාවෙන් මොකද පට්ටම වොයිස් එකක් තියෙන්නේ....පුලුවන්නම් ෆිල්ම් එකකට වොයිස් කරන ව්ඩියෝ එකක් දාන්න.....❤❤❤❤🎉🎉🎉🎉🎉🎉🎉,positive
සුපිරියක් තමා වෙනදා වගේම .....📽️🫀❤️....🐬,positive
Pattama,positive
Supiri,positive
ආදරෙයි අයියේ...❤❤❤,positive
🎉🎉🎉 පට්ට ලස්සනයි ❤❤❤,positive
supiriy❤😊,positive
"Ruu cinema, inside cinema dennagema video balanawa eka wagema adarey❤️.
Good luck",positive
පට්ට ❤❤❤,positive
Adreii ruu lassanai movie eka ❤,positive
රූ කියන්නෙ සුපිරියක් තමා❤❤,positive
Ekanm supiriyak 🔥🔥,positive
Supiri Movie ekk bro ❤️,positive
Ane math ehemai dennama ekai❤,positive
මාත් දවසක් කිව්වා ඕක වැඩක් උනේ නෑ  හැබැයි.. 🥀😢.,negative
Wow 👍,positive
ඒකනම් පට්ටම පට්ට......සුපිරී...❤🥰,positive
ගොඩක් ලස්සනයි 💐,positive
සුපිරි,positive
නියමයි සහෝ...❤❤,positive
❤❤❤❤❤ ruu...,positive
Maru ❤,positive
රු එකෙන්ම 👌👌,positive
Ruuu.❤❤❤,positive
❤❤ලස්සනයි  මරැ,positive
Lassanai ❤,positive
Ekanm niyamai,positive
Maru akath...thnq malli👍,positive
Thank you Ru❤❤❤,positive
Supiri ❤️,positive
😍✨👍,positive
නියමයි,positive
එක මරු,positive
"සින්ටෝ ටෙලි නාට්‍යයේ ""මල් කිණිති"" ගීතය...🥀 
සියුමිණි ඔපයන්ගිගේ මියුරු හඬින්🎵👉 https://youtu.be/_YqsFJkl2S8",neutral
අපිට ඕනෙ සෙනුරිගෙයි උක්කු බබාගෙයි කොටස් වැඩිපුර. තව වලව්වෙ හාමිනෙ. මේ වෙන වෙන කෑලි දාල කතාව එපා කරවන්නෙපා,negative
"සුරේන් හාමු, නෝරාගේ හිත කලබල  නොකර  බොහොම  පරිස්සමට  ඇගේ පෙර මතකය  හරි අපුරුවට  ප්‍රශ්න  කරනවා .❤
සුරේන්❤නෝරා",positive
කפුවගෙ චරිතෙ චොර වුනාට ඒ ඇක්ටර්ගෙ ඇක්‍ටිං මරු ලෙවල්. ඔයා මුලින්ම ආවෙ මුතු කිරිල්ලි කතාවෙන්නෙ. අර ඒකෙ රෙස්ටුරන්ට් එකෙ සෙට් එකත් එක්ක හිටියෙ. ලොකුවට ඩ්‍රාමස් වල හිටියෙ නැති වුනාට් සුපිරි මේකෙ නම් 🤍,positive
මයිලා වක්කඩ ඇරියා වගේ ඔක්කොම කියනවා 😂😂😂😂😂😂,positive
කතාවකට වුනත් සුමන්ගල හදන්නනේ  ගමක් විනාස කරන්න සුදුව හා කසිප්පු කයන්නේ ගමකට හෙනයක්,negative
"කොච්චර වැරදි කරලා
අද යහතින් හිටියත්
ඒවාට වන්දි ගෙවන්න
දවසක් අනිවාර්යයෙන් ම
එනවා මයි 🙏💯",neutral
සුපිරිම කතාව හැම චරිතයක්ම සුපිරි තමන්ගෙ කොටස සුපිරියට කරනව දිගටම කරගෙන යන්න ජය පිරිමි ළමයි ❤❤,positive
අද ඉදන් තමයි දිල්හාරාට බඩු හමබුවෙන්න ගන්නේ... කමෝන් තිවංක 😂😂,positive
"දැන්  තමයි කතාවෙ හොද ටික පටන් ගන්නේ
නෝරා එයාගේ මහත්තයාව මරපු කෙනා ඉස්සරහට කියාවි වගේ😮",positive
මට නම් පේන්නම් බැරි චරිතයක් තමා ජරා චරිතයක් තමා දිල්හාරා කපටි ගෑනි,negative
අද දැනගත්තා කפුවාගේ ගුරුකම් සුවෙර් කියලා 😁,positive
මයිලපිටිය මරු අනේ.. 😄,positive
අලුත් ප්‍රස්ථාව පිරුලක් ( මයිල පිටියට රහසක් කිව්ව වාගේ),positive
"වසර   04   කට පසු...කියලාවත් මේ විකාර වෙනස් කරනවාලාකෝ...
බලන්න ඇති දෙයක් නෑ..skip කරාම.🤭🤭🤭🤭",negative
සෙනුරි දේවින්ද ❤❤❤❤❤,positive
අද සෙනුරි Thamail එකේ නැති හින්නදා පාලුයි වගේ😢😊,negative
1:57 අනෙ අම්මො මෙහෙමත් කפුවෝ 🫠😂,positive
1:47 අපිනේ දන්නේ උබේ මන්තර 😂😂😂😂,positive
"හරිම ආස චරිතයක්, මයිලපිටිය.  😂😂 මාර expressions.  හරිම තාත්විකයි.",positive
ඔව් ඒ ටික තමා බලන්නේ අනිත් ඒවා වැඩක් නෑ,negative
Kiyala wedak nee Adanm..apwenoo,negative
ඔව්... මාත් වෙන ඒව බලන්නේ නෑ.. අද මුකුත්ම නැ බලන්න ..ඔක්කොම skip කරා.😢😢,negative
Man hithanne senurige kotas me dawaswala adu eyage kakule aulak wela. Akai. A hindai den wedipura indagena inna seen thiyenne.,neutral
Tv eka wahala nidaganin harakta balanna newei me katha hadanna,negative
ඔව් අනේ ඒ කොටස් ටික විතරයි බලන්නෙ අද ඔක්කොම skip කරන්න වුනා.කතාව එපා කරවන්නනම් එප😊,negative
 @GraphiCart-p2v උම්බෑ කියපන් tv බලන්නෙ කව්ද youtube තියෙද්දි. ඊයා. ගොඩයා 😂😂😂,negative
Ou adanm wedaka nee,negative
"apitanam epa senurigei,ukku babagei kotas.senurige wede hotu peragena,kela peragena,sema dagena adana ekai oke monawa balannada..😂😂😂😂😂🤭",negative
 @SurangaSanjeewa-u1d ඉතින් අපිට මොකෝ? ඔයාත් නිතරම හොටු පෙරාගෙන අඩන්නෙ😅 මොකෝ සෙනුරි ඇඩුවම? 😂😂,negative
Ekanam aththa wen walpal wadaka naa,negative
Anewa❤,positive
ඔව් එයාලගේ කොටස් අඩුයි සෙනුරියි උක්කු බාබා නිසා කතාව බලන්නේ,neutral
මාත් වැඩිපුරම බලන්නේ ඒ නිසා,neutral
ඔව්,positive
ඒවා කවුද බලන්නෙ.උක්කු බ්බා ස්නුරි හාමිනේ .නෝරා ඉන්න ටිකත් බලනව අනිත්වා අදිනව,negative
😂😂😂 කතාවක් නෙවෙ එහෙනම් දෙබසක්,negative
 @UpekshaWalpola වැඩිපුර කියල වචනයක් මගේ comment එකේ තිබුන දැක්කද මන්ද?? 😂😂😂 කන්නඩි දෙක හරි නෑ එක්කො කියවල දෙයක් තේරුම් ගන්න මොලේ නෑ. 😂😂😂,negative
අනිවාර්යයෙන්  🙏,positive
ඔය එකමගුලක්වත් වැඩක් නෑ සේනක දූල්ලෑවෙ මැරුවෙ කවුද කියලා cid දලා හරි හොයලා මේක ඉක්මනින් ඉවරකරලා දානවානම් හරි,negative
"හා.. උත්සාහ කරල බලන්නo, වෙන මොකුත් එපාද 😇",negative
කුක්කු බබාගෙන් කුක්කු එපාද 😂,negative
පල යන්න,negative
"දිල්හාරා ,තිවංක අප්පියායි බලන්න",neutral
Ow ada okkoma skip,negative
senurige kimba loku karahatto ballo balliyo.pirila,negative
ponna thiwankaya dilhara newei to tmi.jara eka ponna tiwankaya,negative
👍👍👍👍👍,positive
නෝරයි සුරෙනුයි ඉන්න කොටස්වලට කැමති,positive
Yako uba kiyana විදියටද කතාව ලියන්න ඕන. උබට මෙ කතාව ලියන්න ඕන විදිය ගැන ඔච්චර අමාරුයි නම් උබ කතාවක් ලියහන් උබට ඕන කොටස් විතරක් ද්ලා.නදකිං බූරුවා.,negative
අනිවාර්යයෙන්,positive
Ow ada balanna deyak thibbe ne katha we.okkoma winadiyen balala iwara kara,negative
"Oww aka attha, ara charitha tika nam maru",positive
Hari heta idan ewa vithrak dannm😂,negative
Pala yanna...edit krala balapan😅,negative
 @prabhathchamara995 ඊයා ඔයා හරිම කැත පිරිමි ලමයෙක් 😂,negative
"සෙනුරිගෙ හැබෑ ජිවිතේ අක්කද ඇල්ලෙපොලගෙ ගෑනි බේබිට ඉන්නෙ. 
කටහඩ පෙනුම එමමයි",neutral
නෝරාගේ විකාර නම් එපා !!,negative
salli pokuru ake sedara,neutral
මධුෂාන් හත්ලහවත්ත.,neutral
පාරාදීසෙ එකෙත් ඉන්නවා,neutral
ow daksha naluwek ❤,positive
සල්ලි පොකුරු එකෙත් acting superb,positive
මුතු කිරිල්ලි එකේ මේනකගෙ මල්ලිට උන්නෙ.  සල්ලි පොකුරු එකේ සේදර,neutral
අනිවාර්යයෙන්ම,positive
Hapoi ou kapati jara geniyak senuri ukku babagei meddata paninna hadan kapati geniyek mt penna ba meki kochara hodata ragpewth mekinam dirawnnemane,negative
​ @Reshanihasanga Ane bn...kiyala wadak ne ubalanm,negative
​ @niroshanlakmal1527 😂😂😂,positive
දිල්හාර කොහොමද කපටි ගෑනියෙක් වෙන්නේ. එයා ආදරේ නිසා කොච්චර දුක් විදිනවද. අසාදාරනේ වුනේ එයාටනෙ සෙනුරි උක්කු බබාව බලෙන් බැදගෙන.,neutral
Aththamai😂,positive
ඒක මරු😂😂,positive
😅😅,positive
😂😂😂,positive
😂🎉,positive
😂😂😂ekanm maru,positive
😅,positive
Ow😂😂😂😂,positive
Aurudu 4ta passeth mun duwa duwa idi ocharai,negative
අපිට බලන්න දෙන්න. ඔයා බලන්න එපා,negative
ඔව් අද මෙලෝ රහක් නෑ.,negative
ambo nethi ekamai hoda..😂😂🤭,negative
☝️😂😂😂😂,positive
මයිලපිටියගෙ චරිතයත් මරු 😂,positive
මටත්  පේන්න  බැරි තිවංක  I දිල්හාර I. 😂😂😂,negative
"සේනක දූල්ලෑවගේ කොටස් වලට සාරංග එයිද දන්නෑ,😮😮😮😮😮😮😮😮",neutral
දිල්හාරා කතාවට අනුව දුෂ්ට කෙනෙක්😒කොච්චර උක්කු බබාට ආදරේ කලත් අන්තිමට පලි ගන්න තමා බලන්නේ🥲ඒ උනාට සෙනුරි ආදරේ බෝ කලා🥰 ඒකම වෙන්න ඇති  සෙනුරි බලෙන් උක්කු බබාව බැදගත්තත් හැමෝම සෙනුරිට කැමති🥰🥰🥰දිල්හාරාව පේන්න බැරි🥲🥲,neutral
"කට්ටිය හිතන විදියට සේනක් දූල්ලෑව මරන්න ඇත්තෙ කවුද😢
කפුව වෙන්න බැරි කමකුත් නෑ",neutral
මම මේ කතාව බලන්නේ උද්දිකයි සෙනුරියි හාමිනේයි නිසා නැත්නම් නෝරානෙමේ දිනක්ශි අරහං,neutral
"ප්‍රේමයයි  ෙෙවරයයි අතරේ වෙනස කෙස් ගහකට සමයි..
බිදුනු දා පූජාව ප්‍රේමයේ අැයගේ හෝ ඔහුගේ අාගම වෙෙරයක් වේනම් එතන අැත්තටම අාදරයක් තිබී අැතිද..???
.",neutral
මට නම් මේ කතාවේ පේන්නම බැරි දිල්හාරා,negative
නොදකින්  මේ  දිල්හාරා   ගැනි  සෙනුරිට  පවුල්  ජිවිතේ  ගෙවන්නම දෙන්නේ  නැතිවෙයි  මේවගේ  ගැනු  අනන්තයි,negative
Drama එකෙන් බාගයක් ම ස්කීප් කරලා බලන්නේ ...ජාතික රූපවාහිනී යන ඉර හැංගිලා ටෙලිනාට්‍ය බලන්න ලස්සන ගැමි ටෙලිනාට්‍යක්,negative
"මගෙ සැප ඔබෙ සතුටයි කියලා සුරේන් එයාගේ මුලු කාලයම නෝරා වෙනුවෙන් කැප කරලා ඉන්නේ.. එයාගේ හදවතේ නෝරා ගැන අැත්තේ අනුකම්පාවකට වඩා අාදරයක් නිසාද.. ? නැත්තම් එ් ඔහුගේ රාජකාරියද..??
සිදුවූ කිසිදු දෙයක් අහඹුවක් නොවෙයිද..???",neutral
නෝරාගේ විකාර එපා .බලන්න අප්පිරියය්,negative
අද උක්කු බාබාගෙයි සෙනුරිගෙයි කොටසක් නැති හින්දා කතාවම පාලුවට ගිහින් 😕,negative
"මේකත් පුදුම ඇඩිල්ලක් අදින්නේ. එපාවෙනවා. මගින් නවත්තන්නබැරි නිසා බලන්නේ..... මන් කවදාවත් අර බජව්ව වත්, බෙරකාරයෝ බීල යන ඒවා, මේ කפුවා ගේ ඒවා වත් බලල නෑ",negative
මුගෙ ගම්බාර අප්පාච්චි මුගෙ මල්ලිනෙ බොල😂😂😅,positive
නොරා සෙරම මතකත් වෙන්න❤ නොරා ලස්සනයි ❤ග උමට 👍👍👍👍👍👍👍👍👍,positive
මම හදලා මාස 05 වාගේ...දෙන්නෙක් කතා කලා..CEO ලා...මම frelancing ඩිසයින් කරන්නේ...පොඩක් ලේබල් ඩිසයිනින්...,neutral
"It's true that most recruiters will send you messages based on your qualifications if you try to update your profile frequently. My profile is 16 years old, but still, I'm updating most things that are related to my experience.",neutral
"ඇත්තටම වටින අදහස් ටිකක් 
ස්තූතියි සහෝදරයා 🎉",positive
Thank you for the guidance ayya! Your video outlined how to properly utilize the capacity of Linkedin. Will work on that...,positive
Thanks for your honest ideas,positive
Christmas Gift 🎁 ❤ Thank you sir,positive
Thank You Aiya,positive
Really Worth Content🤩,positive
Supiri aiya ❤,positive
Thank you for your valuable discription!❤,positive
Great work 👍🥂,positive
Really worth it 💙💙,positive
මචං ❤️❤️,positive
thank you sir:hands-yellow-heart-red:,positive
best advice,positive
Thanks aiye❤,positive
thanks ayye,positive
"thank you sir
🥰🥰🥰🥰",positive
💯 true,positive
Thank you,positive
🖤⚡,positive
Thank you ❤,positive
❤❤,positive
Thnks,positive
Anura Kumara lite ❤,neutral
matath awa ohoma request. thama 1 and half year wage work kareth industry. den associate position.,neutral
"මම කාලෙකට කලින් FIT UCSC කරලා, certificates ගන්න කලින් නැවැත්තුවා. මට ආපහු ඒක ඉවර කරලා certificate එක ගන්න ඕන. FIT website එකෙන් මගේ ID එක registered නිසා reject වෙනවා. මේක හදා ගන්නෙ කොහොමද?",neutral
