text,label
මගෙ අම්මත් ගුරුවරියක් මන් ආශ්රය කලෙත් ගොඩක් ගුරුවරුන්ගෙ ලමයි මන් කියන්නෙ මෙච්චරයි මන් එක එක විදිහෙ ගුරුවරු ගැන අහල තියෙනවාඒකෙන් සමහරුන්ගෙ චරිත හෙනම අවුල් සමහරු divorced නැත්තම් marriage එක ඇතුලෙ ප්රශ්න නැත්තම් සෑහෙන්න ඇරියස් පිට ඉන්න මිනිස්සු එක එක විදිහෙ toxic මානසිකත්ව තියෙනවා typical මිනිස්සු ඉන්නවා ගුරුවරයා ගුරුවරයා කිව්වට ඒ ඉන්නෙත් මනුස්සයෙක් ගොඩක් කට්ටිය තේරුම් ගන්නෙ නැති තැන ඒක ගුරුවරයා කරන කරන හැමදේම හරි නැහැ අවවාද කරනවා වැරදි හදනවා වගේ දේවල් වෙන්න ඕන procedure එකක් තියෙනවා ඒක හරියටම follow කරන්නෙ නැති ගොන්නු ටිකක් තමා දැන් වැඩිපුරම ඉන්නෙ අනිත් දේ සමහර parents ල හිතන විදිහ පට්ට අවුල් පිට එවුන්ගෙන් තමන්ගෙ ලමයා ගුටි කාල හැදෙන්න ඕන වගේ මානසිකත්වයක් තියෙන්නෙ කිසිම ගුරුවරයෙක්ට ළමයෙක්ට physically or mentally හිංසා කරන්න අයිතියක් නෑ එහෙම වෙනවා නම් ඊට විරුද්ධව action එකක් ගන්නෙ නැතුව කරපු දේ හරියටම හරි මුංව නැත්තම් හදන්න බෑ හොද්දක් වුනත් හැඳි ගාලයි හදන්න ඕනෙ මොන විකාර කතාද මේව වැඩිපුර කියන්නෙත් ලොකුවට සමාජ ගත වෙච්චි නැති educational background එකක් නැති middle class මිනිස්සු තමන්ගෙ ලමයා පිට එවුන්ගෙයි abuse විය යුතුමයි මහ ගොබ්බ මානසිකත්වයක් මෙතන වෙන්නෙත් මේ ලමයව මුතුගල සර් mentally abuse කරනවා abuse of power මන් අහන්නෙ එච්චර කැක්කුමක් තිබ්බ නම් ලමයව හදා ගන්න ඇයි බැරි වුනේ වෙනම ගෙන්නල අවවාද කරන්න එහෙම ඇයි බැරි කියන්නකො ලමයි දාස් ගානක් ඉස්සරහ ඒ ලමයගෙ ආත්ම ගරුත්වයට හානි කරන්නෙ ඇයි මේක justify කරන අයගෙන් මන් අහන්නෙ මේකට මූන දුන්නෙ ඔයාද ඒ ලමයගෙ situation එක පොඩ්ඩක් තේරුම් ගන්න වහල්කම් කරන්නැතුව මන් දන්නවා ඒ ලමයගෙ අතෙත් වරදක් තියෙනවා හැබැයි ඔය දඬුවම ඇත්තටම ඕනවට වැඩියි අර ලමයට කියල හයියෙන් ක්ලාස් එකටම ඇහෙන්න කියව ගන්න එක මොන තරම් ජරා වැඩක්ද ඒ ලමයා කැමැත්තෙන් හිතලා කරපු දෙයක් නෙවේනෙ ඒ ගුරුවරයෙක් වුනා කියල එතන තමන්ට තියෙන power එක මේ විදියට use කරන්න එපා කොච්චර පවුද ඇත්තටම ලමයා ගැන හිතනවා නම් මේ වගේ ගෝත්රික දඬුවම් දෙන්නෙ නැතුව ඉන්න තිබ්බා බොරුවට රැගුවා මේක කලාම හරි ලමයා ලැජ්ජාවට හැදුනා ආයෙ කිසිම දවසක ඒ වගේ වැරැද්දක් වෙන්න ඉඩ තිබ්බෙත් නැහැ හැබැයි එහෙම නොවුණොත් මොකද වෙන්නෙ ලමයගෙ personality එක අවුල් ගියා නැත්තම් මෝඩ විදියට තීරණයක් ගත්තා නැත්තම් තව ටිකක් ඇට්ටර වුනා එතකොට මොකක්ද කරන්නෙ ඔය දුන්න punishment එකෙන් අනිවාරෙන් ඒ ලමයා හැදෙනවා නම් කමක් නෑ හැබැයි එහෙම නොවෙන්න ලොකු සම්භාවිතාවක් තියෙනවා තමන් හරිහමන් ගුරුවරයෙක් නම් මොළයක් තියෙන්න ඕනෙ ඔය හැම fact එකක් ගැනමයි හිතලයි වැඩ කරන්න ඕනෙ ලමයා හැදෙද්දි credit එක ඔයාට යනවා වගේම තමා අනෙක් පැත්තත් ඒ ලමයා විනාස වෙන එකේ responsibility එකත් ඔයා ගන්න ඕනෙ සරලව විසඳන්න තිබ්බ ප්රශ්නෙ උඩ නෑවා අප්පිරියයි anyway channel eke admin subscribe කලා,0
සුපිරි red_heart ok_hand clinking_beer_mugs මම දැක්කා ආබාධිත පුතෙක් ඉන්නවා red_heart කොයිතරම් වටිනවාද එවන් දරුවන් සමාජය අතරට අරගෙන එන එක red_heart මාමා ඔයාට දීර්ඝ ආයු සම්පත්තීයම ලැබෙිවා red_heart,2
aduma ayojanaya karanna ganak tiyada,1
face_with_tears_of_joy face_with_tears_of_joy ayeth wala thawa ekkek balahnko,0
මධුෂාන් හත්ලහවත්ත,1
face_with_tears_of_joy red_heart red_heart red_heart red_heart red_heart red_heart red_heart,2
මේකේ තියෙන සමහර දේවල් හරිම අශෝභනයි,0
koheda ban me kasippu denne apitath set karapanko,1
ok_hand ok_hand,2
නියමයි නියමයි සිරිල් අයියා face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,2
thnks,2
video eka upload karala hour walata passe not for kids dala,0
ගිලෙද්දී මතක් වුන දේවල් ඇත්තටම ගිලිලා ජීවිතය නැති වෙච්ච අයටත් අන්තිම තප්පර කිහිපයේ ඒ විදිහටම මතක් වෙන්න ඇති vini aia respect red_heart red_heart,2
වැරදිලා හරි එක chicken කෑල්ලක් හරි හම්බෙන්න තිබ්බේ එහෙනම් figaro එක ඉවරයි grinning_face_with_sweat,0
සිරාම බන් downcast_face_with_sweat,0
akki pn disappointed_face growing_heart,0
oyage yaluwoh hari hodai hemoma ekamuthui digatama vloge genna udaratharukadahamdasithawitharai danne ayala harima shook,2
nataka,1
smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes ääå,2
මාමාට කිසිම ආත්මෙක ආහාර වලින්නම් අඩුවක් වෙන්නේ නැ මාමා red_heart,2
oooo yes bro,2
salaar dennako,1
man if that guy wants to teach other people he should understand that he is speaking for others outside his world he has a very hard and closed accent that becomes worst because he speaks very fast english is not my native language and i thought he was speaking japanese or zulu when started to watch the video he should try to speak slowly and attenuate his accent to make it more acceptable for the world if not his effort that i appreciate is a waste of time,0
best video on genai will see full video,2
දැන් ඉන්න ගුරුවරු ලමයින්ට බයයි නමුත් මේ විදියටවත් මුන්ව නොහැදුවොත් සමාජයටම පිලිල වෙනවා,2
ow crying_face,0
supiri movie ekk bro red_heart,2
oyalage parana friendship eka dan na wage okkoma acting,0
bro manjal restaurant,1
mun nathara wenne daruwata wena de balala thaththa ta dawa dala yanna wenne lede wediwela mee welawata karanna ona udau eekata mun karanne maannaya nisa idimunu unge sewaya,0
cse website eken broker ferm ekak select karagena e kemathi ekakata katha karala wade patan ganna,1
index is b tree plus datastructure where index key is stored mapping to rowid nice revisit guide before interview thanks for putting it in,1
a gehans new look beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes red_heart red_heart,2
අනිවාර්යයෙන්,2
thanks for the course i just wanted to know whats the docker image size i am getting around gb is there any way to reduce the docker image size,1
red_heart red_heart red_heart,2
anyone face_with_tears_of_joy red_heart,1
එහෙනම් සබ්ස්ක්රයිබ් කරමුකො,1
ben one,0
wow light_blue_heart කතා කියන තරු දෑසට ලියාදෙන්න මදි අහසම smiling_face_with_hearts sparkling_heart,2
me manussayage katha ahala gasaganna epa okkoma boru,0
wow සුපිරි red_heart starstruck starstruck starstruck starstruck starstruck,2
අපිට බලන්න දෙන්න ඔයා බලන්න එපා,0
ඔව් script එක මදි,0
youtube eke idala monada karanna balaporottu wenne comment dada share karanava da,0
me app eka install karanna epa phone eka slow wenawa data iwara wenawa,0
rich papa try krnna location blangoda,1
ben oni,0
චීත්තයට ලැජ්ජා නෑ face_with_tears_of_joy face_with_tears_of_joy grinning_face_with_sweat grinning_face_with_sweat,0
thawa paharak lagadima one smiling_face_with_sunglasses starstruck,1
ben දෙන්නකො ඔයාලා,0
මාත් එහෙම තමා,1
වෙලත් බලන්න හිතුන ගමන් ඔක්කොම episode ටික ආයි මුල ඉදම් බලනවා pleading_face කොච්චර බැලුවත් එපා වෙලා නැ අදටත් ආසම teledrama එකක් pleading_face red_heart sunflower,2
oya kiyana dewal wala kisima logical aadarayak na mudalalita kade yanawa,0
gazta idi kiyl vlog ek beluwe ey nene හරිම dukai,0
oyalage videos balana gaman thamai assignments karanne grinning_face_with_smiling_eyes,2
මාත් red_heart fire seenoevil_monkey,2
me okkoma views ganna karana tricks,0
කොත්තු දාන විදිහත් පෙන්නනවා නම් හොඳයි කියලයි මම හිතන්නෙ,1
නියමයිසර් අපිගෙදර ඉදලා සර්ගෙ පන්ති නගට යොමුවෙනවා නිවමයි සර් ජයවෙවා red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart,2
රෙද්දේ රටඉන්දියන් සාගරයේ මුතුඇටය thinking_face thinking_face thinking_face thinking_face sri_lanka sri_lanka sri_lanka sri_lanka sri_lanka sri_lanka sri_lanka sri_lanka sri_lanka,0
hari heta idan ewa vithrak dannm face_with_tears_of_joy,0
thank you sir this video explained in minutes everything that ive been working with for years,2
respect red_heart,2
thank u red_heart red_heart smiling_face_with_smiling_eyes,2
this is seriously amazing content in under minutes amazing work,2
can you do a video on microservices architecture in detail that would be really helpful,1
video eka anawashya widihata digai point ekata enna,0
අනී මමත් smiling_face_with_hearteyes smiling_face_with_hearteyes,2
ෆර්ස්ට් කමන්ට් එක relieved_face thumbs_up,2
ඔන්න part දැම්මා smiling_face_with_hearteyes මෙතනින් බලන්න පුළුවන් backhand_index_pointing_down_light_skin_tone hollow_red_circle advertisements details වෙළඳ දැන්වීම් සඳහා අමතන්න නෙහාරා inside cinemax පන්ති පිළිබඳ විස්තර මෙතනින් postbox you tube channel ප්රශ්නය econ නම් උත්තරය sri lankan econ trust st_place_medal sri_lanka mihin liyanarachchi man_teacher අපි හීන වෙනුවෙන් ක්රියාපදයක,1
ben oneee relieved_face,0
smiling_face_with_tear,0
horror movies,1
කෙනෙක්ගෙ ජීවිතයක් බේරගන්නවා කියන්නෙ red_heart red_heart red_heart red_heart red_heart red_heart,2
campus එන්න කලින් තියෙන ලොකුම ප්රශ්නෙත් විසදුනා face_with_tears_of_joy folded_hands,2
may god save you from hellfire,2
මේකේ තියෙන සමහර දේවල් හරිම අන්තරාදායකයි,0
අයියාහ් අයියාහ් සිරිල් අයියා red_heart,2
red_heart red_heart red_heart red_heart red_heart,2
supiri red_heart,2
ow ada balanna deyak thibbe ne katha weokkoma winadiyen balala iwara kara,0
පච අනුරගෙන් ඉල්ලපන් face_with_tears_of_joy,0
i have learned from accents stronger than his trust me this is a you problem you dont have what it takes,0
ඔබ තුමාට ආයුබෝවේවා නොමිලෙ ඔබ තුමාගෙ දැනුම අපිත් එක්ක බෙදාගන්නවට,2
supiri aiye red_heart red_heart,2
favorite akka is back red_heart red_heart red_heart red_heart,2
සුපිරියක් තමා වෙනදා වගේම face_with_tears_of_joy red_heart medical_symbol,2
ඉතාම වටිනා videoවක් සර් red_heart,2
using ai face_with_tears_of_joy,2
here crying_face,1
thanks smiling_face_with_smiling_eyes,2
your videos have informed me so much about a lot of things that ive struggled to learn over the past years thank you for making these videos love the topics you cover and how you break everything down,2
මට නම් මේ කතාවේ පේන්නම බැරි දිල්හාරා,0
ado sira ah red_heart,2
thank u puluwan hamawelema video ekak dannm red_heart red_heart,2
මන් වගේ ඩයල් එකක් cat_with_tears_of_joy,2
පොඩි කාලේ කටපාඩම් වෙලා තිබ්බ සිංදු සෙට් එකක් smiling_face_with_hearteyes අතීතය ට ගියා red_heart sign_of_the_horns,2
මටනම් මුල ඉදන්ම හිතුනා වික්රම් මොකක් හරි හංගනව කියලඒක හරියටම හරි crying_face,1
aiya sponsor kenek hoyaganna oyalata godak dura yanna puluwan,1
it really is,2
සබ්ස්ක්රයිබ් කරන් යන්,1
thanks mn try krl balannam,2
batapola inna set ekh koo face_with_tears_of_joy face_with_tears_of_joy red_heart red_heart,1
rukaththana handiye thiyenawa samanala kiyala restaurant ekak eken kala balanna nasiya ehema patta,1
ballek wage kagahanne ai facegreensmilingfacegreensmilingfacegreensmiling,0
මේකේ කතාව තේරුමක් නෑ එකිනෙකට සම්බන්ධයක් නෑ,0
review eka supiri ayye red_heart,2
ඔබ හින්දා බෑ මට මේ තරම් ඉවසන්න කල්පනා headphone heart_suit seenoevil_monkey,0
කණ්ණාඩියා තමා සුපිරිම smiling_face_with_sunglasses face_with_tears_of_joy,2
e koto mn ubalage gedara awilla thiyanawa face_with_tears_of_joy katha kalata kauruth rliyata awe nadda manda face_with_tears_of_joy mn marketing karanakota aeilla thiyanawa ubalage ge issaraha garage eke phase line ekak neda thiyenne face_with_tears_of_joy,1
party_popper red_heart party_popper red_heart party_popper red_heart,2
ගෑණු පව් crying_face නැති කාලේ අත අල්ලා ගත්ත ගෑණිව තියෙන කාලේ අත්හැරියා කියන්නේ දවසක ඒවට මිනිස්සුන්ට විදවන්නම වෙනවා crying_face crying_face crying_face,0
මෙවා බලලා දැන් අපි කොහෙන්ද හිනා වෙන්න ඔනී face_with_tears_of_joy,1
me channel eketh ikmanata k gahamu red_heart,2
the experts are the ones who can explain harder stuffs easily not showing off that they know something hard in difficult wordings to someone who are willing to learn so i salute him it is very structured and easily understandable,2
වස්සො බැදගන යන ගෑනු ලමයින්ටත් වෙන්නෙ පවුලම කාලා රටත් කාලාඅල්ලපු ගෙදර පව්ලත් අනාත කරනවා ඔබතුමා ඉතා හොද ගුරුවරයෙක්,2
ah dino got slim nice love u both red_heart red_heart red_heart best always red_heart red_heart,2
drama එකෙන් බාගයක් ම ස්කීප් කරලා බලන්නේ ජාතික රූපවාහිනී යන ඉර හැංගිලා ටෙලිනාට්ය බලන්න ලස්සන ගැමි ටෙලිනාට්යක්,0
personturqouisewavingyow dawasaka set ekama hambemu edata math video ekak gahanoo relieved_face,2
face_with_tears_of_joy red_heart nice one dino blok,2
adreyi sparkling_heart partying_face heart_on_fire,2
බඩාස් නෙමෙයි යකො බඩා face_with_tears_of_joy,1
ඔයාලා දැන් මිනිස්සුන්ගේ හැඟීම් වලට ගරු කරන්නේ නෑ,0
සිරිමත් මගෙ සකි යහපත් ළමයෙකි face_with_tears_of_joy red_heart,2
අන්තිම තත්පර ටික නන් වස්ති අයියෙ tired_face fearful_face astonished_face astonished_face astonished_face ඒත් good luck හොදේ තව එකක් ඉක්මනට ඕනා,2
මයිලපිටිය මරු අනේ grinning_face_with_smiling_eyes,2
කැන්පස් රැග් grinning_face_with_sweat,1
thanks a lot,2
niyamai red_heart,2
අම්මෝඅම්මෝ grinning_face_with_sweat,2
winking_face_with_tongue,2
හොද වැඩක් red_heart,2
patta film ekak red_heart red_heart red_heart red_heart,2
oya kiyana widiyata invest karala api hamarayi meka boruwak,0
මම පුතාලා දෙන්නෙක්ගේ අම්මා කෙනෙක්මට කදුලු ආවා සර් කරපුදේට ඔබ වගේ ගුරු උතුමන් පාසැල් ඇතුලෙත් බිහිවේවා මේවා සෑම ගුරුවරුන්ටම ආදර්ශයක්ම වේවා දළදා සමිඳු පිහිටයි ඔබතුමාට party_popper party_popper,2
ranjayya red_heart,2
i know all the concepts earlier but i have to say you have started from a simple clientserver architecture to distributed systems for experienced its a refresher loved the way you have crafted a story and explained in a much simpler way,2
the entire mins kept me interested a quick revision and great video indeed,2
ලස්සනයි ගොඩාක් tnx red_heart red_heart red_heart red_heart smiling_face_with_hearts,2
apith මහරගම red_heart හේ හේ පල්ලහ වෙල ලග නේ ඉන්නෙ ව්ලොග් එකෙන් දැක්කෙ ඩුක්කලහෙ,2
එකම rugby team එකේ හැබැයි ඉස්කෝල කින් grinning_face_with_sweat,2
දෙවෙනි කොටසත් ඉක්මනට දාන්න අපි බලන් ඉන්නවා red_heart,1
puththalame buruvo kiyanna apa crying_face crying_face,0
කොමෙන්ට් එක මේක නම් සුපිරි හොඳටම දීලා තියෙනවා face_with_tears_of_joy red_heart,2
okkoma rent karapu dewal boru show off eka witharai thiyenne,0
too fast for beginners concepts tikak explain karanna thawa time gaththa nam hodai,0
පින් red_heart red_heart smiling_face_with_smiling_eyes,2
ara cycle karaya bar ekak issaeaha ne nawattuwe face_with_tears_of_joy,1
loke inna sakkilima polissiya srilanka,0
favourite channel pleading_face red_heart,2
red_heart red_heart red_heart folded_hands folded_hands folded_hands,2
salli nathi nisa comment walata reply karanawa views thiyenakota ignore karanawa,0
මේකේ තියෙන සමහර දර්ශන හරිම අප්රසන්නයි,0
aka atha maru lanjava nethiya,0
